GFN Account Number;Account Name;Account Owner;Accounting Clerk: Accounting Clerk Code;Banding;Legal Entity;Market Segment / Characteristics;Sales Rep Code;GFN Status
AB10000000;Alpha Transport Ltd;Emily Lewis;1E;Platinum;Ltd;Education;50070404;Blocked
AB10000001;Beta Transport Ltd;Alice Thompson;4H;Bronze;Ltd;Energy;50057433;Blocked
AB10000002;Gamma Transport Ltd;Emma Johnson;7K;Platinum;Unlimited;Energy;50036881;Active
AB10000003;Delta Transport Ltd;Olivia Davis;8L;Platinum;CIC;Manufacturing;50074974;Active
AB10000004;Epsilon Transport Ltd;Sophie Green;1E;Silver;PLC;Finance;50053751;Active
AB10000005;Zeta Transport Ltd;Daniel Smith;2F;Silver;Unlimited;Energy;50053067;Active
AB10000006;Eta Transport Ltd;Gerard van Herpen;2F;Bronze;Ltd;Wholesale;50054631;Active
AB10000007;Theta Transport Ltd;Emma Johnson;7K;Gold;PLC;Wholesale;50074955;Active
AB10000008;Iota Transport Ltd;Alice Thompson;3G;Silver;PLC;Energy;50053781;Blocked
AB10000009;Kappa Transport Ltd;Sophie Green;8L;Platinum;PLC;Retail;50010240;Blocked
AB10000010;Lambda Transport Ltd;Alice Thompson;0N;Platinum;Unlimited;Energy;50007813;Active
AB10000011;Mu Transport Ltd;James White;1E;Silver;LLP;Healthcare;50084352;Blocked
AB10000012;Nu Transport Ltd;William Clark;4H;Bronze;LLP;Energy;50012471;Blocked
AB10000013;Xi Transport Ltd;James White;0N;Bronze;PLC;Education;50057776;Active
AB10000014;Omicron Transport Ltd;Gerard van Herpen;7K;Platinum;Ltd;Energy;50096870;Blocked
AB10000015;Pi Transport Ltd;Olivia Davis;7K;Gold;Unlimited;Healthcare;50092672;Active
AB10000016;Rho Transport Ltd;Emma Johnson;2F;Silver;LLP;Technology;50079401;Active
AB10000017;Sigma Transport Ltd;Michael Brown;0N;Bronze;PLC;Technology;50038255;Active
AB10000018;Tau Transport Ltd;Emma Johnson;4H;Silver;Unlimited;Retail;50038273;Blocked
AB10000019;Upsilon Transport Ltd;Emma Johnson;3G;Bronze;Unlimited;Manufacturing;50096081;Blocked
AB10000020;Phi Transport Ltd;James White;0N;Platinum;Unlimited;Manufacturing;50082238;Blocked
AB10000021;Chi Transport Ltd;Daniel Smith;6J;Gold;PLC;Wholesale;50003351;Blocked
AB10000022;Psi Transport Ltd;Sophie Green;3G;Silver;Ltd;Education;50095534;Blocked
AB10000023;Omega Transport Ltd;Olivia Davis;2F;Platinum;Unlimited;Wholesale;50096637;Active
AB10000024;Apex Transport Ltd;James White;3G;Bronze;Ltd;Wholesale;50005648;Active
AB10000025;Orbit Transport Ltd;Emily Lewis;3G;Bronze;PLC;Technology;50054239;Blocked
AB10000026;Nova Transport Ltd;Emma Johnson;1E;Gold;LLP;Wholesale;50010824;Active
AB10000027;Zenith Transport Ltd;Daniel Smith;8L;Platinum;Unlimited;Healthcare;50020493;Active
AB10000028;Vertex Transport Ltd;Olivia Davis;5I;Bronze;LLP;Wholesale;50065794;Blocked
AB10000029;Nimbus Transport Ltd;Michael Brown;7K;Silver;LLP;Healthcare;50065780;Blocked
AB10000030;Pioneer Transport Ltd;Daniel Smith;1E;Bronze;Unlimited;Manufacturing;50061850;Active
AB10000031;Voyager Transport Ltd;Daniel Smith;9M;Platinum;Ltd;Manufacturing;50056480;Active
AB10000032;Atlas Transport Ltd;Emma Johnson;5I;Bronze;PLC;Wholesale;50089753;Active
AB10000033;Titan Transport Ltd;Sophie Green;6J;Silver;Unlimited;Technology;50017068;Active
AB10000034;Comet Transport Ltd;William Clark;8L;Platinum;Unlimited;Finance;50053099;Blocked
AB10000035;Meteor Transport Ltd;Sophie Green;0N;Bronze;LLP;Finance;50006388;Blocked
AB10000036;Rocket Transport Ltd;Gerard van Herpen;4H;Gold;Unlimited;Technology;50071780;Active
AB10000037;Stellar Transport Ltd;Emma Johnson;3G;Gold;LLP;Technology;50080517;Active
AB10000038;Galaxy Transport Ltd;Olivia Davis;2F;Gold;CIC;Education;50096660;Blocked
AB10000039;Nebula Transport Ltd;Olivia Davis;0N;Bronze;LLP;Technology;50049292;Active
AB10000040;Fusion Transport Ltd;Daniel Smith;4H;Gold;Ltd;Manufacturing;50055435;Active
AB10000041;Quantum Transport Ltd;Emma Johnson;2F;Bronze;Ltd;Energy;50055126;Blocked
AB10000042;Velocity Transport Ltd;William Clark;4H;Bronze;PLC;Education;50063989;Blocked
AB10000043;Momentum Transport Ltd;James White;3G;Gold;Unlimited;Healthcare;50088690;Active
AB10000044;Pulse Transport Ltd;Sophie Green;2F;Silver;PLC;Wholesale;50099505;Blocked
AB10000045;Drive Transport Ltd;Michael Brown;7K;Silver;Ltd;Manufacturing;50007218;Blocked
AB10000046;Stream Transport Ltd;Emily Lewis;4H;Silver;CIC;Education;50088983;Blocked
AB10000047;Flow Transport Ltd;Olivia Davis;5I;Gold;PLC;Finance;50003432;Blocked
AB10000048;Surge Transport Ltd;William Clark;0N;Bronze;PLC;Finance;50037377;Active
AB10000049;Wave Transport Ltd;William Clark;4H;Bronze;LLP;Finance;50033448;Blocked
AB10000050;Ship7665 Ltd;Sophie Green;4H;Silver;CIC;Finance;50040174;Active
AB10000051;Ship3947 Ltd;James White;0N;Silver;LLP;Retail;50074064;Active
AB10000052;Trans6353 Ltd;James White;6J;Gold;Ltd;Technology;50079260;Active
AB10000053;Move1600 Ltd;Daniel Smith;6J;Silver;PLC;Healthcare;50093103;Active
AB10000054;Ship7597 Ltd;Michael Brown;1E;Gold;LLP;Retail;50031736;Blocked
AB10000055;Ship3515 Ltd;Alice Thompson;4H;Silver;CIC;Wholesale;50035694;Blocked
AB10000056;Carry6969 Ltd;Alice Thompson;5I;Bronze;CIC;Education;50027599;Blocked
AB10000057;Carry4755 Ltd;Emma Johnson;1E;Bronze;LLP;Technology;50013638;Blocked
AB10000058;Move4892 Ltd;Sophie Green;3G;Bronze;CIC;Technology;50071336;Active
AB10000059;Move5966 Ltd;Sophie Green;6J;Gold;LLP;Manufacturing;50037788;Active
AB10000060;Move3038 Ltd;James White;2F;Gold;LLP;Technology;50060310;Active
AB10000061;Move1625 Ltd;Emma Johnson;6J;Bronze;CIC;Retail;50075516;Active
AB10000062;Ship2287 Ltd;Michael Brown;4H;Platinum;Unlimited;Retail;50026954;Blocked
AB10000063;Trans3147 Ltd;William Clark;2F;Gold;LLP;Wholesale;50039666;Active
AB10000064;Ship8507 Ltd;Sophie Green;8L;Platinum;CIC;Retail;50014385;Blocked
AB10000065;Move6009 Ltd;Alice Thompson;2F;Bronze;PLC;Energy;50085287;Active
AB10000066;Trans6920 Ltd;William Clark;9M;Bronze;CIC;Finance;50095310;Blocked
AB10000067;Trans4892 Ltd;Olivia Davis;9M;Bronze;PLC;Technology;50093549;Blocked
AB10000068;Carry4849 Ltd;Gerard van Herpen;3G;Silver;Unlimited;Technology;50041454;Active
AB10000069;Carry6347 Ltd;Emma Johnson;4H;Bronze;PLC;Education;50025494;Blocked
AB10000070;Trans4401 Ltd;Daniel Smith;3G;Bronze;Ltd;Finance;50006746;Blocked
AB10000071;Move6706 Ltd;Michael Brown;9M;Silver;LLP;Healthcare;50015607;Blocked
AB10000072;Carry3641 Ltd;Gerard van Herpen;7K;Platinum;CIC;Retail;50079600;Blocked
AB10000073;Move3956 Ltd;Alice Thompson;6J;Silver;LLP;Manufacturing;50012544;Active
AB10000074;Carry5680 Ltd;Gerard van Herpen;2F;Platinum;CIC;Finance;50016264;Blocked
AB10000075;Ship1107 Ltd;Michael Brown;0N;Bronze;Ltd;Technology;50039607;Blocked
AB10000076;Ship9940 Ltd;Emma Johnson;2F;Silver;Ltd;Manufacturing;50080684;Active
AB10000077;Trans4331 Ltd;William Clark;5I;Gold;CIC;Finance;50026563;Blocked
AB10000078;Move6690 Ltd;Sophie Green;0N;Silver;Ltd;Manufacturing;50085151;Active
AB10000079;Carry2694 Ltd;Olivia Davis;5I;Platinum;PLC;Healthcare;50025782;Blocked
AB10000080;Trans5831 Ltd;Sophie Green;8L;Bronze;LLP;Energy;50072694;Active
AB10000081;Ship3494 Ltd;Michael Brown;6J;Bronze;LLP;Retail;50017691;Blocked
AB10000082;Ship5835 Ltd;James White;2F;Platinum;Ltd;Finance;50042331;Blocked
AB10000083;Move1118 Ltd;Emily Lewis;2F;Bronze;LLP;Education;50093137;Blocked
AB10000084;Carry9545 Ltd;Emily Lewis;1E;Silver;PLC;Healthcare;50016635;Blocked
AB10000085;Trans9716 Ltd;William Clark;6J;Bronze;PLC;Energy;50095975;Blocked
AB10000086;Trans8031 Ltd;Emma Johnson;6J;Platinum;Ltd;Energy;50020157;Blocked
AB10000087;Move4793 Ltd;Alice Thompson;3G;Bronze;Unlimited;Wholesale;50070585;Blocked
AB10000088;Ship2149 Ltd;Sophie Green;3G;Bronze;Ltd;Education;50040664;Blocked
AB10000089;Ship5524 Ltd;James White;0N;Bronze;LLP;Energy;50050808;Blocked
AB10000090;Trans8895 Ltd;Olivia Davis;5I;Bronze;CIC;Energy;50020996;Active
AB10000091;Carry7822 Ltd;Michael Brown;1E;Silver;Unlimited;Energy;50043493;Active
AB10000092;Move4229 Ltd;Olivia Davis;2F;Platinum;PLC;Retail;50050039;Blocked
AB10000093;Carry3447 Ltd;Alice Thompson;5I;Bronze;PLC;Education;50053731;Blocked
AB10000094;Trans7201 Ltd;Sophie Green;1E;Bronze;CIC;Retail;50035070;Blocked
AB10000095;Trans1017 Ltd;Daniel Smith;1E;Platinum;PLC;Healthcare;50089907;Active
AB10000096;Carry3407 Ltd;William Clark;1E;Platinum;Ltd;Energy;50096796;Blocked
AB10000097;Carry9049 Ltd;William Clark;5I;Gold;CIC;Wholesale;50017858;Active
AB10000098;Ship4894 Ltd;William Clark;1E;Silver;Ltd;Retail;50032937;Blocked
AB10000099;Carry8265 Ltd;Michael Brown;4H;Platinum;LLP;Technology;50054070;Active
AB10000100;Carry2317 Ltd;Emma Johnson;0N;Silver;Ltd;Technology;50089424;Active
AB10000101;Ship8160 Ltd;Emma Johnson;0N;Gold;PLC;Retail;50021612;Blocked
AB10000102;Trans7991 Ltd;Michael Brown;1E;Bronze;Ltd;Energy;50004072;Blocked
AB10000103;Carry9523 Ltd;Emma Johnson;3G;Silver;Unlimited;Healthcare;50044677;Blocked
AB10000104;Carry7589 Ltd;William Clark;5I;Gold;CIC;Retail;50003527;Blocked
AB10000105;Move5195 Ltd;Michael Brown;4H;Platinum;Ltd;Wholesale;50015833;Active
AB10000106;Ship4422 Ltd;Emily Lewis;0N;Gold;PLC;Wholesale;50026954;Blocked
AB10000107;Carry3059 Ltd;James White;0N;Gold;Ltd;Technology;50064055;Active
AB10000108;Trans2250 Ltd;James White;4H;Silver;PLC;Manufacturing;50046365;Blocked
AB10000109;Trans3642 Ltd;Gerard van Herpen;1E;Gold;CIC;Wholesale;50055753;Active
AB10000110;Carry3834 Ltd;James White;6J;Platinum;LLP;Wholesale;50048110;Active
AB10000111;Move6391 Ltd;William Clark;5I;Gold;Ltd;Manufacturing;50090760;Blocked
AB10000112;Move9740 Ltd;Emma Johnson;6J;Silver;CIC;Education;50099534;Blocked
AB10000113;Carry6877 Ltd;William Clark;9M;Platinum;Ltd;Energy;50078906;Blocked
AB10000114;Carry7078 Ltd;Alice Thompson;7K;Platinum;Ltd;Manufacturing;50049862;Blocked
AB10000115;Carry1321 Ltd;Emma Johnson;7K;Silver;LLP;Finance;50076043;Active
AB10000116;Carry9074 Ltd;James White;3G;Silver;LLP;Energy;50029587;Active
AB10000117;Ship8843 Ltd;William Clark;2F;Bronze;CIC;Technology;50060882;Active
AB10000118;Trans1556 Ltd;Daniel Smith;7K;Platinum;CIC;Education;50084742;Blocked
AB10000119;Ship5520 Ltd;Gerard van Herpen;5I;Platinum;Ltd;Retail;50059512;Blocked
AB10000120;Move2615 Ltd;Olivia Davis;1E;Gold;CIC;Healthcare;50027381;Blocked
AB10000121;Move8635 Ltd;Daniel Smith;9M;Gold;PLC;Wholesale;50046807;Blocked
AB10000122;Trans6747 Ltd;Alice Thompson;4H;Gold;CIC;Retail;50027333;Blocked
AB10000123;Carry6219 Ltd;Olivia Davis;9M;Bronze;PLC;Healthcare;50006758;Active
AB10000124;Ship5516 Ltd;Gerard van Herpen;7K;Silver;Ltd;Finance;50001708;Blocked
AB10000125;Trans8892 Ltd;Sophie Green;4H;Bronze;Unlimited;Finance;50088569;Blocked
AB10000126;Carry3631 Ltd;Olivia Davis;5I;Silver;Unlimited;Technology;50026649;Blocked
AB10000127;Move3678 Ltd;Emma Johnson;7K;Platinum;Unlimited;Technology;50089670;Active
AB10000128;Move5787 Ltd;William Clark;9M;Silver;Unlimited;Retail;50038724;Active
AB10000129;Carry6917 Ltd;Emma Johnson;0N;Platinum;CIC;Manufacturing;50006485;Blocked
AB10000130;Trans4880 Ltd;Emma Johnson;6J;Gold;Unlimited;Manufacturing;50001309;Blocked
AB10000131;Ship9372 Ltd;Alice Thompson;0N;Platinum;PLC;Wholesale;50019387;Active
AB10000132;Trans8352 Ltd;Sophie Green;5I;Platinum;Ltd;Education;50008764;Blocked
AB10000133;Trans1527 Ltd;Sophie Green;3G;Gold;Unlimited;Retail;50067057;Blocked
AB10000134;Move1598 Ltd;James White;0N;Silver;Ltd;Education;50063489;Blocked
AB10000135;Ship2186 Ltd;Emma Johnson;7K;Silver;PLC;Wholesale;50054276;Active
AB10000136;Ship5868 Ltd;Michael Brown;3G;Bronze;PLC;Healthcare;50071599;Blocked
AB10000137;Carry7151 Ltd;Alice Thompson;6J;Silver;LLP;Healthcare;50038316;Active
AB10000138;Move1842 Ltd;Emily Lewis;2F;Bronze;Unlimited;Energy;50060761;Blocked
AB10000139;Carry5017 Ltd;Alice Thompson;2F;Platinum;CIC;Finance;50045861;Blocked
AB10000140;Ship3574 Ltd;Michael Brown;2F;Silver;PLC;Energy;50005938;Active
AB10000141;Trans6579 Ltd;James White;0N;Bronze;PLC;Manufacturing;50068468;Active
AB10000142;Ship5954 Ltd;Michael Brown;6J;Platinum;LLP;Manufacturing;50079683;Blocked
AB10000143;Trans4157 Ltd;Emma Johnson;2F;Platinum;CIC;Healthcare;50025689;Active
AB10000144;Move4147 Ltd;Emily Lewis;4H;Bronze;Unlimited;Wholesale;50072651;Active
AB10000145;Move7990 Ltd;Gerard van Herpen;7K;Gold;CIC;Finance;50025369;Blocked
AB10000146;Ship5947 Ltd;Emily Lewis;7K;Bronze;LLP;Healthcare;50069014;Active
AB10000147;Ship2119 Ltd;Daniel Smith;9M;Platinum;Ltd;Wholesale;50059449;Active
AB10000148;Ship4720 Ltd;Emily Lewis;4H;Silver;PLC;Education;50018415;Blocked
AB10000149;Ship4857 Ltd;Daniel Smith;5I;Bronze;PLC;Energy;50051820;Blocked
AB10000150;Move8089 Ltd;Alice Thompson;7K;Silver;LLP;Wholesale;50097575;Blocked
AB10000151;Trans6755 Ltd;Alice Thompson;2F;Platinum;Ltd;Energy;50042047;Blocked
AB10000152;Carry6721 Ltd;Emily Lewis;1E;Silver;PLC;Retail;50066013;Active
AB10000153;Ship1009 Ltd;Daniel Smith;2F;Gold;Unlimited;Education;50067678;Active
AB10000154;Ship9610 Ltd;William Clark;9M;Platinum;PLC;Technology;50028907;Blocked
AB10000155;Move7871 Ltd;Gerard van Herpen;8L;Bronze;PLC;Retail;50000475;Blocked
AB10000156;Ship5418 Ltd;Emma Johnson;7K;Silver;LLP;Wholesale;50066209;Active
AB10000157;Carry2822 Ltd;Gerard van Herpen;6J;Bronze;LLP;Finance;50090949;Blocked
AB10000158;Trans8230 Ltd;Emily Lewis;3G;Gold;LLP;Wholesale;50074916;Active
AB10000159;Move1753 Ltd;Sophie Green;5I;Platinum;Ltd;Technology;50058667;Active
AB10000160;Carry1168 Ltd;William Clark;5I;Bronze;Ltd;Manufacturing;50023687;Active
AB10000161;Ship7142 Ltd;Alice Thompson;5I;Bronze;Unlimited;Energy;50064958;Blocked
AB10000162;Carry1463 Ltd;James White;4H;Silver;LLP;Wholesale;50004710;Blocked
AB10000163;Trans5761 Ltd;Emma Johnson;3G;Platinum;Unlimited;Education;50063547;Active
AB10000164;Carry2970 Ltd;Olivia Davis;7K;Platinum;Ltd;Retail;50023734;Blocked
AB10000165;Trans6599 Ltd;Sophie Green;0N;Gold;Ltd;Healthcare;50026485;Blocked
AB10000166;Ship2847 Ltd;Alice Thompson;0N;Platinum;Ltd;Energy;50069646;Active
AB10000167;Carry6887 Ltd;Gerard van Herpen;3G;Bronze;LLP;Retail;50096978;Blocked
AB10000168;Trans8027 Ltd;William Clark;5I;Gold;CIC;Healthcare;50034728;Blocked
AB10000169;Carry7675 Ltd;Michael Brown;2F;Gold;CIC;Manufacturing;50082422;Active
AB10000170;Ship5776 Ltd;Daniel Smith;2F;Gold;CIC;Wholesale;50011572;Active
AB10000171;Ship5499 Ltd;Emma Johnson;0N;Gold;CIC;Technology;50028692;Active
AB10000172;Move8655 Ltd;Emily Lewis;2F;Platinum;CIC;Technology;50081349;Blocked
AB10000173;Trans4650 Ltd;James White;0N;Gold;Ltd;Healthcare;50065731;Blocked
AB10000174;Ship5344 Ltd;Olivia Davis;3G;Silver;PLC;Retail;50065325;Blocked
AB10000175;Carry2914 Ltd;Emily Lewis;6J;Gold;PLC;Education;50091690;Blocked
AB10000176;Move3263 Ltd;Olivia Davis;1E;Platinum;PLC;Retail;50059293;Active
AB10000177;Ship9862 Ltd;Michael Brown;2F;Silver;LLP;Wholesale;50041761;Active
AB10000178;Trans5465 Ltd;Emily Lewis;4H;Silver;Ltd;Energy;50066604;Active
AB10000179;Move2663 Ltd;Emma Johnson;5I;Silver;PLC;Manufacturing;50079133;Blocked
AB10000180;Ship5450 Ltd;James White;9M;Gold;PLC;Energy;50069259;Blocked
AB10000181;Carry4387 Ltd;Emily Lewis;2F;Silver;PLC;Healthcare;50087379;Blocked
AB10000182;Carry1056 Ltd;Daniel Smith;5I;Bronze;Ltd;Wholesale;50095754;Active
AB10000183;Ship7248 Ltd;Daniel Smith;2F;Platinum;Ltd;Technology;50008847;Blocked
AB10000184;Ship8164 Ltd;James White;7K;Platinum;PLC;Wholesale;50050910;Blocked
AB10000185;Move8456 Ltd;Olivia Davis;9M;Silver;Ltd;Finance;50042069;Blocked
AB10000186;Move9069 Ltd;Michael Brown;3G;Silver;LLP;Education;50025800;Active
AB10000187;Carry4756 Ltd;Emma Johnson;4H;Gold;CIC;Manufacturing;50039642;Blocked
AB10000188;Trans9412 Ltd;Olivia Davis;9M;Gold;PLC;Finance;50077437;Blocked
AB10000189;Trans2966 Ltd;Sophie Green;6J;Platinum;LLP;Healthcare;50050516;Blocked
AB10000190;Ship6953 Ltd;Sophie Green;5I;Platinum;Unlimited;Energy;50013735;Active
AB10000191;Trans4798 Ltd;Alice Thompson;5I;Silver;CIC;Healthcare;50014769;Active
AB10000192;Trans7356 Ltd;Michael Brown;6J;Silver;LLP;Education;50014677;Active
AB10000193;Move5407 Ltd;Emma Johnson;3G;Platinum;PLC;Healthcare;50087103;Active
AB10000194;Trans1339 Ltd;Gerard van Herpen;4H;Gold;CIC;Wholesale;50050637;Active
AB10000195;Carry9756 Ltd;Gerard van Herpen;5I;Bronze;PLC;Wholesale;50074256;Blocked
AB10000196;Ship4485 Ltd;Emily Lewis;8L;Gold;Unlimited;Wholesale;50075245;Blocked
AB10000197;Ship5900 Ltd;Alice Thompson;3G;Platinum;PLC;Finance;50031049;Active
AB10000198;Move1150 Ltd;James White;6J;Bronze;Unlimited;Finance;50013338;Blocked
AB10000199;Trans7874 Ltd;Michael Brown;8L;Gold;Ltd;Wholesale;50056865;Active
AB10000200;Move1189 Ltd;Alice Thompson;4H;Silver;CIC;Education;50081820;Active
AB10000201;Move7780 Ltd;William Clark;9M;Bronze;Unlimited;Manufacturing;50019114;Active
AB10000202;Move9543 Ltd;Alice Thompson;4H;Bronze;Ltd;Wholesale;50093535;Blocked
AB10000203;Ship1713 Ltd;Olivia Davis;7K;Platinum;Ltd;Wholesale;50036430;Blocked
AB10000204;Trans4289 Ltd;Michael Brown;9M;Platinum;LLP;Manufacturing;50011065;Blocked
AB10000205;Trans9652 Ltd;Gerard van Herpen;2F;Gold;Unlimited;Healthcare;50083924;Active
AB10000206;Move3804 Ltd;Michael Brown;5I;Bronze;Ltd;Energy;50093916;Blocked
AB10000207;Move2908 Ltd;James White;6J;Gold;Unlimited;Education;50012145;Blocked
AB10000208;Ship1280 Ltd;William Clark;3G;Gold;LLP;Retail;50029980;Blocked
AB10000209;Ship2900 Ltd;William Clark;8L;Gold;Unlimited;Manufacturing;50086479;Blocked
AB10000210;Trans6446 Ltd;James White;6J;Platinum;LLP;Finance;50085806;Blocked
AB10000211;Move5993 Ltd;Sophie Green;0N;Gold;Ltd;Energy;50056791;Blocked
AB10000212;Ship7390 Ltd;Emma Johnson;5I;Platinum;Unlimited;Education;50094049;Active
AB10000213;Carry6778 Ltd;James White;0N;Bronze;Ltd;Wholesale;50062786;Blocked
AB10000214;Carry7470 Ltd;Michael Brown;8L;Bronze;CIC;Manufacturing;50001335;Blocked
AB10000215;Move5655 Ltd;Michael Brown;4H;Bronze;CIC;Retail;50054403;Blocked
AB10000216;Ship3995 Ltd;Michael Brown;8L;Bronze;CIC;Manufacturing;50071076;Active
AB10000217;Ship5338 Ltd;Olivia Davis;9M;Bronze;LLP;Finance;50069947;Blocked
AB10000218;Trans2679 Ltd;James White;3G;Platinum;PLC;Healthcare;50085632;Active
AB10000219;Ship5040 Ltd;Alice Thompson;3G;Bronze;PLC;Finance;50073510;Blocked
AB10000220;Ship1378 Ltd;Olivia Davis;8L;Gold;Unlimited;Energy;50018294;Blocked
AB10000221;Ship4574 Ltd;William Clark;7K;Bronze;Unlimited;Finance;50003129;Blocked
AB10000222;Carry8507 Ltd;Michael Brown;5I;Gold;LLP;Retail;50062766;Active
AB10000223;Trans5079 Ltd;Olivia Davis;5I;Bronze;PLC;Education;50032943;Active
AB10000224;Trans2327 Ltd;James White;6J;Gold;LLP;Technology;50003350;Blocked
AB10000225;Carry6984 Ltd;Sophie Green;1E;Silver;LLP;Manufacturing;50092295;Blocked
AB10000226;Trans7121 Ltd;James White;1E;Platinum;CIC;Finance;50083244;Blocked
AB10000227;Carry7056 Ltd;Alice Thompson;5I;Bronze;CIC;Wholesale;50020229;Active
AB10000228;Ship8716 Ltd;Alice Thompson;3G;Silver;CIC;Manufacturing;50009064;Active
AB10000229;Carry4838 Ltd;William Clark;4H;Gold;LLP;Healthcare;50057379;Blocked
AB10000230;Move3620 Ltd;William Clark;5I;Bronze;LLP;Retail;50095613;Blocked
AB10000231;Ship9319 Ltd;William Clark;5I;Silver;PLC;Energy;50082347;Active
AB10000232;Carry8782 Ltd;William Clark;7K;Gold;PLC;Wholesale;50035740;Blocked
AB10000233;Trans7590 Ltd;Alice Thompson;7K;Bronze;Unlimited;Technology;50078381;Blocked
AB10000234;Carry2619 Ltd;Daniel Smith;0N;Silver;Unlimited;Retail;50034642;Blocked
AB10000235;Move6172 Ltd;William Clark;7K;Gold;Ltd;Energy;50092120;Blocked
AB10000236;Ship8935 Ltd;Olivia Davis;7K;Platinum;Unlimited;Retail;50037526;Blocked
AB10000237;Carry5757 Ltd;James White;5I;Silver;Unlimited;Retail;50079643;Active
AB10000238;Carry4989 Ltd;Gerard van Herpen;4H;Silver;CIC;Wholesale;50059576;Active
AB10000239;Ship5238 Ltd;Emma Johnson;1E;Gold;Unlimited;Technology;50094609;Active
AB10000240;Carry5455 Ltd;Alice Thompson;7K;Bronze;CIC;Healthcare;50082437;Active
AB10000241;Move2122 Ltd;William Clark;0N;Silver;PLC;Finance;50075506;Blocked
AB10000242;Carry6236 Ltd;Sophie Green;4H;Platinum;Ltd;Energy;50078171;Blocked
AB10000243;Trans2697 Ltd;Sophie Green;7K;Bronze;Ltd;Finance;50082662;Active
AB10000244;Ship9224 Ltd;Gerard van Herpen;0N;Gold;LLP;Technology;50090316;Active
