GFN Account Number;Account Name;Account Owner;Accounting Clerk: Accounting Clerk Code;Banding;Legal Entity;Market Segment / Characteristics;Sales Rep Code;GFN Status
AB10000245;Carry8882 Ltd;Olivia Davis;2F;Gold;LLP;Healthcare;50019787;Active
AB10000246;Carry1370 Ltd;Michael Brown;7K;Gold;CIC;Finance;50045976;Blocked
AB10000247;Trans7109 Ltd;William Clark;3G;Gold;LLP;Finance;50075888;Active
AB10000248;Ship2915 Ltd;Emma Johnson;0N;Bronze;LLP;Finance;50028722;Active
AB10000249;Ship3909 Ltd;Daniel Smith;0N;Gold;PLC;Education;50098653;Active
AB10000250;Ship5651 Ltd;Michael Brown;2F;Silver;Ltd;Energy;50085868;Active
AB10000251;Carry5471 Ltd;Olivia Davis;3G;Platinum;PLC;Healthcare;50021356;Active
AB10000252;Carry7019 Ltd;James White;6J;Bronze;Ltd;Finance;50040341;Active
AB10000253;Move1457 Ltd;Gerard van Herpen;9M;Silver;Ltd;Finance;50045742;Active
AB10000254;Move9510 Ltd;James White;0N;Silver;PLC;Retail;50029644;Active
AB10000255;Trans3456 Ltd;Michael Brown;2F;Bronze;CIC;Energy;50023564;Active
AB10000256;Move5338 Ltd;Sophie Green;6J;Platinum;Unlimited;Retail;50029195;Active
AB10000257;Trans1726 Ltd;Daniel Smith;0N;Platinum;PLC;Education;50062038;Active
AB10000258;Trans3512 Ltd;William Clark;0N;Gold;Unlimited;Finance;50097692;Blocked
AB10000259;Carry2768 Ltd;Michael Brown;0N;Silver;Unlimited;Retail;50036417;Active
AB10000260;Carry5965 Ltd;William Clark;9M;Platinum;CIC;Retail;50012727;Active
AB10000261;Ship4698 Ltd;Michael Brown;5I;Silver;Unlimited;Wholesale;50027603;Blocked
AB10000262;Ship6207 Ltd;Olivia Davis;5I;Platinum;Unlimited;Energy;50027502;Active
AB10000263;Trans8827 Ltd;Olivia Davis;6J;Bronze;PLC;Energy;50064785;Active
AB10000264;Ship3404 Ltd;Alice Thompson;8L;Silver;Ltd;Healthcare;50012777;Active
AB10000265;Carry1893 Ltd;Sophie Green;7K;Gold;Unlimited;Manufacturing;50095373;Blocked
AB10000266;Move4648 Ltd;Daniel Smith;3G;Platinum;Ltd;Finance;50025859;Blocked
AB10000267;Move2013 Ltd;William Clark;6J;Platinum;CIC;Finance;50066304;Blocked
AB10000268;Ship3001 Ltd;Alice Thompson;3G;Bronze;LLP;Education;50052789;Blocked
AB10000269;Trans1989 Ltd;Emma Johnson;7K;Silver;Unlimited;Finance;50097460;Active
AB10000270;Move9952 Ltd;James White;8L;Silver;LLP;Finance;50055138;Active
AB10000271;Ship2900 Ltd;James White;2F;Platinum;Unlimited;Technology;50030087;Active
AB10000272;Ship5427 Ltd;James White;9M;Silver;LLP;Healthcare;50014680;Blocked
AB10000273;Move3820 Ltd;William Clark;6J;Bronze;Ltd;Education;50091523;Blocked
AB10000274;Trans6453 Ltd;Daniel Smith;2F;Platinum;Unlimited;Healthcare;50051592;Active
AB10000275;Ship1569 Ltd;Emily Lewis;4H;Bronze;LLP;Manufacturing;50083850;Active
AB10000276;Move7134 Ltd;Emma Johnson;6J;Bronze;LLP;Healthcare;50097053;Active
AB10000277;Trans7721 Ltd;Sophie Green;7K;Silver;LLP;Wholesale;50025192;Blocked
AB10000278;Carry5565 Ltd;William Clark;2F;Silver;LLP;Education;50097440;Blocked
AB10000279;Move4994 Ltd;Daniel Smith;2F;Silver;Ltd;Technology;50093333;Active
AB10000280;Ship2651 Ltd;Gerard van Herpen;2F;Bronze;LLP;Manufacturing;50078591;Blocked
AB10000281;Ship1004 Ltd;James White;2F;Bronze;LLP;Retail;50026152;Active
AB10000282;Move8457 Ltd;Daniel Smith;7K;Platinum;Unlimited;Education;50076002;Blocked
AB10000283;Move4564 Ltd;James White;4H;Gold;CIC;Finance;50056157;Active
AB10000284;Move8654 Ltd;Alice Thompson;9M;Silver;Ltd;Education;50039143;Blocked
AB10000285;Trans7424 Ltd;Alice Thompson;6J;Bronze;CIC;Education;50005571;Active
AB10000286;Trans6769 Ltd;Gerard van Herpen;9M;Gold;CIC;Manufacturing;50006567;Active
AB10000287;Move1894 Ltd;James White;1E;Silver;PLC;Wholesale;50036827;Blocked
AB10000288;Trans4313 Ltd;Daniel Smith;9M;Gold;LLP;Technology;50072172;Blocked
AB10000289;Move7531 Ltd;James White;5I;Platinum;LLP;Technology;50070179;Blocked
AB10000290;Carry1768 Ltd;Emma Johnson;4H;Bronze;Unlimited;Manufacturing;50020190;Blocked
AB10000291;Trans6481 Ltd;Emily Lewis;5I;Platinum;LLP;Energy;50084621;Active
AB10000292;Trans5430 Ltd;Daniel Smith;4H;Silver;Unlimited;Energy;50004068;Active
AB10000293;Ship1402 Ltd;Michael Brown;2F;Platinum;Ltd;Healthcare;50030417;Active
AB10000294;Carry8702 Ltd;Olivia Davis;5I;Bronze;Unlimited;Manufacturing;50074207;Blocked
AB10000295;Ship9408 Ltd;Olivia Davis;7K;Platinum;Unlimited;Finance;50097630;Active
AB10000296;Move7027 Ltd;Alice Thompson;4H;Silver;LLP;Energy;50064606;Blocked
AB10000297;Carry2884 Ltd;William Clark;4H;Silver;CIC;Healthcare;50038005;Blocked
AB10000298;Ship6978 Ltd;Olivia Davis;5I;Platinum;CIC;Education;50082689;Blocked
AB10000299;Trans6347 Ltd;Emily Lewis;5I;Platinum;CIC;Manufacturing;50078772;Blocked
AB10000300;Carry1705 Ltd;Olivia Davis;1E;Gold;Ltd;Retail;50096149;Blocked
AB10000301;Carry6844 Ltd;Emily Lewis;3G;Silver;Ltd;Finance;50059442;Blocked
AB10000302;Carry6123 Ltd;William Clark;5I;Platinum;Unlimited;Healthcare;50069561;Blocked
AB10000303;Ship3317 Ltd;William Clark;7K;Gold;Unlimited;Education;50027378;Blocked
AB10000304;Ship8796 Ltd;Sophie Green;7K;Bronze;PLC;Technology;50061739;Blocked
AB10000305;Ship6861 Ltd;James White;9M;Gold;LLP;Wholesale;50080349;Blocked
AB10000306;Trans9135 Ltd;Gerard van Herpen;0N;Bronze;Unlimited;Retail;50066904;Blocked
AB10000307;Trans9146 Ltd;William Clark;6J;Platinum;Ltd;Healthcare;50001323;Active
AB10000308;Carry6306 Ltd;Emily Lewis;3G;Silver;PLC;Education;50017738;Blocked
AB10000309;Ship1586 Ltd;Sophie Green;6J;Silver;Ltd;Retail;50079550;Active
AB10000310;Move8300 Ltd;Olivia Davis;4H;Platinum;Ltd;Education;50031986;Blocked
AB10000311;Ship5489 Ltd;Olivia Davis;6J;Platinum;Ltd;Technology;50031710;Blocked
AB10000312;Carry6190 Ltd;Gerard van Herpen;1E;Platinum;Ltd;Finance;50038272;Active
AB10000313;Trans1519 Ltd;Olivia Davis;4H;Silver;LLP;Technology;50017208;Blocked
AB10000314;Trans1873 Ltd;Alice Thompson;7K;Bronze;Ltd;Healthcare;50004607;Active
AB10000315;Move9846 Ltd;Olivia Davis;0N;Platinum;CIC;Education;50029637;Active
AB10000316;Move3493 Ltd;James White;2F;Gold;CIC;Wholesale;50022676;Blocked
AB10000317;Ship2974 Ltd;Gerard van Herpen;0N;Platinum;CIC;Wholesale;50029330;Blocked
AB10000318;Move3763 Ltd;Michael Brown;6J;Platinum;Ltd;Energy;50025233;Active
AB10000319;Ship1412 Ltd;Sophie Green;9M;Bronze;Ltd;Wholesale;50060381;Active
AB10000320;Ship3377 Ltd;Olivia Davis;1E;Platinum;Unlimited;Education;50041477;Blocked
AB10000321;Move9929 Ltd;James White;3G;Platinum;CIC;Manufacturing;50010354;Active
AB10000322;Carry4124 Ltd;Alice Thompson;7K;Bronze;Ltd;Retail;50028343;Blocked
AB10000323;Move5844 Ltd;Sophie Green;5I;Gold;LLP;Education;50058474;Active
AB10000324;Ship9226 Ltd;Olivia Davis;9M;Gold;Unlimited;Retail;50067111;Blocked
AB10000325;Trans3815 Ltd;Sophie Green;0N;Gold;Unlimited;Retail;50055407;Blocked
AB10000326;Move7490 Ltd;Emma Johnson;4H;Silver;CIC;Technology;50015133;Active
AB10000327;Carry6488 Ltd;Emma Johnson;5I;Platinum;LLP;Wholesale;50071986;Blocked
AB10000328;Trans7172 Ltd;Michael Brown;3G;Bronze;LLP;Energy;50071295;Active
AB10000329;Move7192 Ltd;Olivia Davis;2F;Bronze;Unlimited;Healthcare;50076126;Active
AB10000330;Ship6256 Ltd;Daniel Smith;8L;Platinum;CIC;Healthcare;50090666;Blocked
AB10000331;Carry7602 Ltd;Alice Thompson;0N;Gold;CIC;Retail;50072319;Blocked
AB10000332;Trans5159 Ltd;Alice Thompson;2F;Silver;Ltd;Manufacturing;50071463;Blocked
AB10000333;Ship4131 Ltd;Michael Brown;6J;Silver;LLP;Retail;50070385;Blocked
AB10000334;Ship1862 Ltd;Sophie Green;2F;Platinum;Unlimited;Manufacturing;50062880;Blocked
AB10000335;Ship1359 Ltd;Olivia Davis;0N;Platinum;LLP;Energy;50030045;Blocked
AB10000336;Ship6566 Ltd;Gerard van Herpen;7K;Gold;Unlimited;Education;50002759;Blocked
AB10000337;Ship5772 Ltd;Sophie Green;5I;Gold;Ltd;Energy;50082156;Blocked
AB10000338;Carry4395 Ltd;Gerard van Herpen;2F;Platinum;LLP;Education;50096746;Blocked
AB10000339;Carry2141 Ltd;Alice Thompson;5I;Bronze;LLP;Technology;50075758;Active
AB10000340;Ship3557 Ltd;James White;4H;Platinum;CIC;Education;50039558;Blocked
AB10000341;Carry8711 Ltd;Michael Brown;6J;Silver;LLP;Retail;50053094;Blocked
AB10000342;Carry4629 Ltd;Emily Lewis;5I;Bronze;LLP;Finance;50060362;Blocked
AB10000343;Trans8603 Ltd;James White;8L;Silver;CIC;Manufacturing;50008034;Blocked
AB10000344;Ship1867 Ltd;Emily Lewis;7K;Bronze;PLC;Energy;50017065;Active
AB10000345;Trans1661 Ltd;William Clark;6J;Platinum;PLC;Education;50010091;Blocked
AB10000346;Ship3635 Ltd;Alice Thompson;6J;Platinum;Unlimited;Finance;50042713;Active
AB10000347;Move8905 Ltd;Olivia Davis;8L;Silver;PLC;Healthcare;50039308;Active
AB10000348;Trans7162 Ltd;Alice Thompson;2F;Gold;Unlimited;Retail;50017758;Active
AB10000349;Trans3100 Ltd;James White;9M;Platinum;LLP;Manufacturing;50078586;Blocked
AB10000350;Move8700 Ltd;James White;6J;Gold;LLP;Finance;50085268;Blocked
AB10000351;Carry1581 Ltd;Sophie Green;5I;Platinum;Unlimited;Education;50061800;Blocked
AB10000352;Carry1645 Ltd;Daniel Smith;4H;Bronze;PLC;Manufacturing;50005592;Active
AB10000353;Trans2729 Ltd;William Clark;0N;Platinum;PLC;Retail;50013016;Active
AB10000354;Carry6253 Ltd;William Clark;1E;Bronze;LLP;Retail;50067604;Blocked
AB10000355;Trans7984 Ltd;Sophie Green;3G;Platinum;CIC;Manufacturing;50082564;Blocked
AB10000356;Carry1000 Ltd;Olivia Davis;6J;Platinum;LLP;Healthcare;50044349;Blocked
AB10000357;Carry6668 Ltd;Emma Johnson;3G;Bronze;PLC;Technology;50012399;Blocked
AB10000358;Move7872 Ltd;Daniel Smith;8L;Bronze;PLC;Wholesale;50009675;Active
AB10000359;Carry2413 Ltd;Emily Lewis;5I;Platinum;Ltd;Healthcare;50054063;Blocked
AB10000360;Ship2430 Ltd;William Clark;2F;Platinum;Ltd;Wholesale;50018650;Blocked
AB10000361;Trans2117 Ltd;Alice Thompson;3G;Silver;PLC;Retail;50044053;Active
AB10000362;Move1923 Ltd;Michael Brown;3G;Silver;PLC;Healthcare;50075291;Active
AB10000363;Carry1675 Ltd;Michael Brown;7K;Bronze;Unlimited;Retail;50033252;Blocked
AB10000364;Trans2719 Ltd;Gerard van Herpen;7K;Platinum;LLP;Manufacturing;50045846;Active
AB10000365;Move8917 Ltd;William Clark;8L;Platinum;CIC;Finance;50002825;Blocked
AB10000366;Trans6555 Ltd;William Clark;7K;Bronze;LLP;Retail;50006989;Active
AB10000367;Carry9272 Ltd;Olivia Davis;8L;Gold;LLP;Healthcare;50079175;Blocked
AB10000368;Carry2015 Ltd;Olivia Davis;0N;Gold;Unlimited;Technology;50058376;Active
AB10000369;Move7306 Ltd;Daniel Smith;4H;Silver;LLP;Manufacturing;50070070;Active
AB10000370;Carry7591 Ltd;Alice Thompson;0N;Platinum;Unlimited;Manufacturing;50005827;Blocked
AB10000371;Trans9835 Ltd;Emma Johnson;0N;Bronze;CIC;Healthcare;50056061;Active
AB10000372;Ship7847 Ltd;Daniel Smith;1E;Platinum;CIC;Finance;50058426;Active
AB10000373;Ship9011 Ltd;Emily Lewis;1E;Bronze;Ltd;Education;50022240;Active
AB10000374;Move9710 Ltd;William Clark;6J;Bronze;Ltd;Retail;50079843;Blocked
AB10000375;Trans8735 Ltd;Daniel Smith;8L;Platinum;PLC;Retail;50025393;Active
AB10000376;Trans9982 Ltd;Emily Lewis;8L;Silver;Ltd;Finance;50004708;Active
AB10000377;Carry7093 Ltd;Emily Lewis;6J;Silver;LLP;Energy;50029061;Active
AB10000378;Move1271 Ltd;James White;2F;Bronze;CIC;Wholesale;50086390;Active
AB10000379;Trans5953 Ltd;William Clark;9M;Silver;CIC;Manufacturing;50046990;Active
AB10000380;Move4720 Ltd;William Clark;5I;Gold;Ltd;Manufacturing;50031805;Active
AB10000381;Ship8981 Ltd;Michael Brown;9M;Gold;Ltd;Healthcare;50039792;Active
AB10000382;Move3243 Ltd;Alice Thompson;9M;Platinum;PLC;Manufacturing;50023627;Blocked
AB10000383;Move9387 Ltd;James White;0N;Gold;LLP;Manufacturing;50089530;Active
AB10000384;Carry8123 Ltd;Alice Thompson;0N;Silver;PLC;Manufacturing;50055440;Active
AB10000385;Carry4141 Ltd;Daniel Smith;4H;Silver;CIC;Energy;50021163;Blocked
AB10000386;Trans9712 Ltd;Daniel Smith;7K;Gold;CIC;Education;50033509;Active
AB10000387;Ship1386 Ltd;Sophie Green;1E;Gold;Ltd;Energy;50018794;Active
AB10000388;Trans1008 Ltd;James White;9M;Gold;LLP;Manufacturing;50088692;Blocked
AB10000389;Carry7901 Ltd;Alice Thompson;2F;Platinum;CIC;Finance;50059634;Blocked
AB10000390;Move8761 Ltd;Daniel Smith;5I;Silver;PLC;Education;50091310;Active
AB10000391;Ship8339 Ltd;James White;7K;Bronze;PLC;Education;50017450;Active
AB10000392;Carry5266 Ltd;Emma Johnson;2F;Silver;PLC;Retail;50071129;Blocked
AB10000393;Carry6958 Ltd;Olivia Davis;6J;Gold;CIC;Technology;50065240;Active
AB10000394;Trans1666 Ltd;Daniel Smith;9M;Gold;Ltd;Finance;50043020;Active
AB10000395;Ship4187 Ltd;James White;1E;Platinum;Unlimited;Retail;50074285;Active
AB10000396;Ship4470 Ltd;James White;4H;Silver;Ltd;Technology;50025663;Blocked
AB10000397;Ship8025 Ltd;Michael Brown;5I;Gold;CIC;Manufacturing;50037991;Active
AB10000398;Carry4869 Ltd;Daniel Smith;4H;Platinum;LLP;Education;50036168;Active
AB10000399;Move9022 Ltd;William Clark;3G;Silver;Unlimited;Finance;50063400;Active
AB10000400;Carry5577 Ltd;Daniel Smith;4H;Silver;LLP;Education;50023134;Blocked
AB10000401;Trans8563 Ltd;Daniel Smith;0N;Platinum;Ltd;Wholesale;50024595;Active
AB10000402;Trans2209 Ltd;James White;8L;Bronze;CIC;Healthcare;50031058;Active
AB10000403;Carry6967 Ltd;Olivia Davis;6J;Platinum;CIC;Healthcare;50073710;Active
AB10000404;Carry6832 Ltd;Daniel Smith;8L;Bronze;LLP;Education;50048312;Active
AB10000405;Trans3907 Ltd;William Clark;1E;Silver;LLP;Energy;50062888;Active
AB10000406;Move8439 Ltd;Daniel Smith;2F;Silver;LLP;Technology;50022851;Active
AB10000407;Move6370 Ltd;Daniel Smith;9M;Gold;CIC;Technology;50030133;Active
AB10000408;Ship1533 Ltd;Emma Johnson;6J;Platinum;CIC;Finance;50019077;Blocked
AB10000409;Move8677 Ltd;Daniel Smith;6J;Platinum;CIC;Education;50038805;Blocked
AB10000410;Move7053 Ltd;Emily Lewis;6J;Silver;LLP;Technology;50066732;Active
AB10000411;Carry2795 Ltd;James White;7K;Gold;Unlimited;Healthcare;50036868;Blocked
AB10000412;Carry2410 Ltd;Michael Brown;5I;Silver;Unlimited;Healthcare;50012020;Blocked
AB10000413;Move4081 Ltd;William Clark;4H;Silver;LLP;Retail;50048695;Blocked
AB10000414;Trans6128 Ltd;Gerard van Herpen;0N;Platinum;PLC;Retail;50080864;Blocked
AB10000415;Carry8365 Ltd;Emma Johnson;7K;Gold;Unlimited;Manufacturing;50033423;Blocked
AB10000416;Carry3945 Ltd;Michael Brown;1E;Gold;Unlimited;Finance;50044917;Blocked
AB10000417;Ship3918 Ltd;Olivia Davis;7K;Silver;LLP;Finance;50074308;Blocked
AB10000418;Move9472 Ltd;Michael Brown;7K;Gold;LLP;Education;50050062;Active
AB10000419;Move3440 Ltd;Alice Thompson;9M;Silver;LLP;Wholesale;50095594;Active
AB10000420;Move5470 Ltd;Michael Brown;4H;Platinum;PLC;Wholesale;50020498;Blocked
AB10000421;Carry2632 Ltd;Gerard van Herpen;3G;Gold;CIC;Finance;50077599;Blocked
AB10000422;Carry9230 Ltd;Sophie Green;2F;Silver;LLP;Wholesale;50050878;Active
AB10000423;Carry5640 Ltd;Michael Brown;4H;Bronze;LLP;Manufacturing;50020872;Active
AB10000424;Trans1869 Ltd;Gerard van Herpen;7K;Gold;LLP;Education;50087786;Active
AB10000425;Ship6926 Ltd;Olivia Davis;1E;Bronze;PLC;Manufacturing;50008595;Blocked
AB10000426;Ship8215 Ltd;Michael Brown;1E;Silver;LLP;Wholesale;50033672;Blocked
AB10000427;Trans1416 Ltd;Gerard van Herpen;8L;Bronze;Unlimited;Retail;50098563;Blocked
AB10000428;Carry9860 Ltd;William Clark;3G;Bronze;Ltd;Energy;50077695;Active
AB10000429;Carry5714 Ltd;Emma Johnson;8L;Silver;CIC;Education;50058078;Active
AB10000430;Ship7552 Ltd;Alice Thompson;8L;Platinum;Unlimited;Manufacturing;50056386;Active
AB10000431;Trans2979 Ltd;Daniel Smith;9M;Platinum;LLP;Education;50001269;Blocked
AB10000432;Carry8392 Ltd;Michael Brown;8L;Platinum;Unlimited;Manufacturing;50050572;Blocked
AB10000433;Carry2136 Ltd;Alice Thompson;8L;Platinum;CIC;Technology;50017359;Blocked
AB10000434;Ship8412 Ltd;Olivia Davis;5I;Bronze;Unlimited;Manufacturing;50056081;Blocked
AB10000435;Move2844 Ltd;Emma Johnson;3G;Platinum;PLC;Healthcare;50001655;Blocked
AB10000436;Carry9125 Ltd;Michael Brown;6J;Platinum;PLC;Manufacturing;50002165;Active
AB10000437;Trans7403 Ltd;Daniel Smith;0N;Platinum;Ltd;Wholesale;50010136;Blocked
AB10000438;Trans7651 Ltd;James White;0N;Gold;LLP;Education;50088119;Active
AB10000439;Trans3049 Ltd;Olivia Davis;5I;Platinum;Ltd;Finance;50038182;Active
AB10000440;Ship7393 Ltd;Gerard van Herpen;5I;Silver;Ltd;Education;50006927;Blocked
AB10000441;Move2215 Ltd;Sophie Green;2F;Bronze;LLP;Finance;50031682;Active
AB10000442;Ship7198 Ltd;Emma Johnson;4H;Gold;Unlimited;Energy;50052019;Blocked
AB10000443;Ship3168 Ltd;Emma Johnson;2F;Silver;CIC;Technology;50078103;Blocked
AB10000444;Trans7199 Ltd;Daniel Smith;9M;Bronze;PLC;Technology;50068254;Blocked
AB10000445;Carry3439 Ltd;Michael Brown;0N;Gold;Ltd;Technology;50031770;Blocked
AB10000446;Trans5078 Ltd;Emma Johnson;3G;Silver;CIC;Manufacturing;50024686;Active
AB10000447;Trans4458 Ltd;James White;4H;Platinum;PLC;Technology;50025959;Blocked
AB10000448;Ship4947 Ltd;William Clark;5I;Silver;Ltd;Technology;50026748;Active
AB10000449;Move8228 Ltd;Emma Johnson;2F;Bronze;CIC;Manufacturing;50008046;Active
AB10000450;Ship5094 Ltd;William Clark;6J;Platinum;Unlimited;Finance;50079584;Active
AB10000451;Trans9622 Ltd;Gerard van Herpen;9M;Platinum;Unlimited;Retail;50018381;Blocked
AB10000452;Move8037 Ltd;Emily Lewis;1E;Bronze;LLP;Technology;50092862;Active
AB10000453;Carry5128 Ltd;Alice Thompson;2F;Silver;LLP;Education;50032796;Active
AB10000454;Trans4551 Ltd;William Clark;9M;Gold;Ltd;Education;50053771;Active
AB10000455;Carry3653 Ltd;Michael Brown;6J;Silver;CIC;Education;50080194;Blocked
AB10000456;Ship6507 Ltd;Gerard van Herpen;2F;Bronze;LLP;Energy;50072037;Blocked
AB10000457;Ship3564 Ltd;Gerard van Herpen;2F;Silver;LLP;Healthcare;50085449;Active
AB10000458;Move4484 Ltd;Sophie Green;8L;Bronze;Ltd;Technology;50053455;Active
AB10000459;Ship2393 Ltd;William Clark;4H;Bronze;Ltd;Education;50080856;Blocked
AB10000460;Move8317 Ltd;Olivia Davis;1E;Platinum;CIC;Education;50009774;Active
AB10000461;Trans4976 Ltd;James White;7K;Platinum;CIC;Wholesale;50068866;Active
AB10000462;Move6379 Ltd;James White;0N;Platinum;LLP;Healthcare;50093112;Active
AB10000463;Carry6597 Ltd;Daniel Smith;6J;Gold;Unlimited;Technology;50039758;Blocked
AB10000464;Ship3691 Ltd;Alice Thompson;3G;Gold;Unlimited;Finance;50001960;Blocked
AB10000465;Carry8510 Ltd;Daniel Smith;7K;Silver;Ltd;Wholesale;50045491;Blocked
AB10000466;Ship9828 Ltd;Olivia Davis;0N;Bronze;PLC;Finance;50044454;Blocked
AB10000467;Trans6494 Ltd;Michael Brown;9M;Platinum;Ltd;Manufacturing;50099147;Active
AB10000468;Carry9767 Ltd;Gerard van Herpen;8L;Platinum;LLP;Wholesale;50006835;Active
AB10000469;Ship9812 Ltd;James White;6J;Bronze;Ltd;Manufacturing;50005402;Blocked
AB10000470;Ship4983 Ltd;Olivia Davis;6J;Bronze;PLC;Education;50019744;Blocked
AB10000471;Trans7825 Ltd;James White;6J;Bronze;Ltd;Education;50015176;Blocked
AB10000472;Carry3083 Ltd;Sophie Green;4H;Silver;CIC;Retail;50017365;Active
AB10000473;Trans8015 Ltd;James White;3G;Bronze;LLP;Technology;50028781;Active
AB10000474;Trans4329 Ltd;Alice Thompson;9M;Platinum;CIC;Energy;50032975;Blocked
AB10000475;Ship3871 Ltd;Emily Lewis;7K;Bronze;CIC;Education;50005524;Blocked
AB10000476;Trans4962 Ltd;Olivia Davis;6J;Gold;Unlimited;Wholesale;50052886;Blocked
AB10000477;Trans4758 Ltd;Olivia Davis;8L;Gold;Ltd;Education;50050794;Blocked
AB10000478;Carry9959 Ltd;William Clark;2F;Platinum;CIC;Education;50071351;Active
AB10000479;Move7569 Ltd;Gerard van Herpen;3G;Gold;LLP;Retail;50007459;Blocked
AB10000480;Trans7822 Ltd;Sophie Green;7K;Gold;Ltd;Finance;50003983;Blocked
AB10000481;Carry6544 Ltd;Gerard van Herpen;2F;Platinum;Ltd;Retail;50024145;Active
AB10000482;Ship6961 Ltd;Michael Brown;6J;Silver;CIC;Retail;50066520;Active
AB10000483;Ship1879 Ltd;Olivia Davis;5I;Bronze;LLP;Healthcare;50032872;Active
AB10000484;Move1027 Ltd;Emily Lewis;8L;Gold;CIC;Finance;50021957;Active
AB10000485;Carry4437 Ltd;William Clark;3G;Silver;PLC;Finance;50038729;Active
AB10000486;Trans5741 Ltd;Daniel Smith;3G;Silver;PLC;Energy;50026939;Blocked
AB10000487;Move9947 Ltd;Olivia Davis;2F;Silver;PLC;Energy;50022747;Blocked
AB10000488;Trans2899 Ltd;Daniel Smith;7K;Gold;Unlimited;Technology;50072206;Active
AB10000489;Trans4079 Ltd;James White;8L;Platinum;CIC;Wholesale;50064482;Active
AB10000490;Ship5648 Ltd;William Clark;4H;Gold;CIC;Finance;50006913;Active
AB10000491;Move2123 Ltd;Sophie Green;2F;Gold;Ltd;Technology;50000801;Blocked
AB10000492;Move6293 Ltd;Emily Lewis;9M;Bronze;Ltd;Education;50012633;Blocked
AB10000493;Ship3178 Ltd;Sophie Green;5I;Gold;Unlimited;Healthcare;50073834;Active
AB10000494;Trans9920 Ltd;Daniel Smith;3G;Bronze;CIC;Wholesale;50094027;Active
